[10:56:27]	Г@H3NK has connected.
[10:57:40]	Г@H3NK loaded the character 'Александр Климов'
[11:02:29]	֍ Aime-moi ֍ has connected.
[11:04:01]	֍ Aime-moi ֍ loaded the character 'D47.MPF-RL.81483'
[11:04:03]	D47.MPF-RL.81483 entered observer.
[11:04:09]	D47.MPF-RL.81483 exited observer at their location.
[11:04:12]	D47.MPF-RL.81483 has taken 191 damage from Александр Климов.
[11:04:18]	D47.MPF-RL.81483 has spawned a 'Entity [640][item_healthkit]'.
[11:04:18]	D47.MPF-RL.81483 has spawned a 'Entity [653][item_healthkit]'.
[11:04:18]	D47.MPF-RL.81483 has spawned a 'Entity [691][item_healthkit]'.
[11:04:18]	D47.MPF-RL.81483 has spawned a 'Entity [692][item_healthkit]'.
[11:04:18]	D47.MPF-RL.81483 has spawned a 'Entity [693][item_healthkit]'.
[11:04:19]	D47.MPF-RL.81483 has spawned a 'Entity [702][item_healthkit]'.
[11:04:19]	D47.MPF-RL.81483 has spawned a 'Entity [691][item_healthkit]'.
[11:04:21]	D47.MPF-RL.81483 has spawned a 'Entity [691][item_battery]'.
[11:04:21]	D47.MPF-RL.81483 has spawned a 'Entity [692][item_battery]'.
[11:04:21]	D47.MPF-RL.81483 has spawned a 'Entity [702][item_battery]'.
[11:04:21]	D47.MPF-RL.81483 has spawned a 'Entity [703][item_battery]'.
[11:04:21]	D47.MPF-RL.81483 has spawned a 'Entity [704][item_battery]'.
[11:04:22]	D47.MPF-RL.81483 has spawned a 'Entity [691][item_battery]'.
[11:04:22]	D47.MPF-RL.81483 has spawned a 'Entity [692][item_battery]'.
[11:05:21]	D47.MPF-RL.81483 has taken 188 damage from Александр Климов.
[11:05:24]	Александр Климов has taken 5 damage from D47.MPF-RL.81483.
[11:05:24]	D47.MPF-RL.81483 has taken 189 damage from Александр Климов.
[11:05:24]	Александр Климов has killed D47.MPF-RL.81483 with arccw_shorty.
[11:06:43]	D47.MPF-RL.81483 entered observer.
[11:06:47]	D47.MPF-RL.81483 exited observer at their location.
[11:07:22]	D47.MPF-RL.81483 entered observer.
[11:07:25]	D47.MPF-RL.81483 exited observer at their location.
[11:07:28]	Александр Климов has taken 150 damage from D47.MPF-RL.81483.
[11:07:28]	D47.MPF-RL.81483 has killed Александр Климов with weapon_357.
[11:07:35]	D47.MPF-RL.81483 entered observer.
